code,name,unit,price,quantity,category
"FF-1649","ESPIRALES REPELENTES INSECTOS",UNO,"200",138,"FERRETERIA",
"FF-1650","SPRAY REPELENTE",UNO,"2000",27,"FERRETERIA",
"FF-1653","BUOS",UNO,"4500",6,"FERRETERIA",
"FF-1654","CANDADO CIRCULAR MOTO Y BICICLETA",UNO,"2800",11,"FERRETERIA",
"FF-1661","CHIRRIS",UNO,"35",0,"FERRETERIA",
"FF-1710","ESPAGUETIS TERMICOS",UNO,"350",77,"FERRETERIA",
"FF-1717","TOMACORRIENTE MODERNO",UNO,"900",6,"FERRETERIA",
"FF-1719","TOMACORRIENTE E INETRUPTOR COMBINADO",UNO,"800",0,"FERRETERIA",
"FF-1733","BREAKER 20A DOBLE",UNO,"2500",0,"FERRETERIA",
"FF-1734","BREAKER 16A DOBLE",UNO,"2500",0,"FERRETERIA",
"FF-1735","BREAKER 32A DOBLE",UNO,"2500",1,"FERRETERIA",
"FF-1736","BREAKER 40A DOBLE",UNO,"2500",0,"FERRETERIA",
"FF-1737","VALVULAS #14",UNO,"500",235,"FERRETERIA",
"FF-1742","CABLE CARGADOR DE BATERIA",UNO,"1500",0,"FERRETERIA",
"FF-1743","LUZ DE SERVICIO",UNO,"3500",1,"FERRETERIA",
"FF-1752","CALCOMANIA",UNO,"300",227,"FERRETERIA",
"FF-1753","ESCOBA",UNO,"1000",10,"FERRETERIA",
"FF-1757","CABLE PARA CARGAR CELULAR",UNO,"800",0,"FERRETERIA",
"FF-1758","CALCOMANIA REFLECTORES",UNO,"80",0,"FERRETERIA",
"FF-1760","CAPACITOR 300MF",UNO,"4800",10,"FERRETERIA",
